Protein	Gene	Description	Group	Peptides	Collapsed	ChrI-TEF1-SRPrec-32	ChrI-ADH1-SRP-3	ChrI-CYC1-SRP-6	ChrI-TEF1-SRP-15	ChrI-SRPrec-2cAlpha	HO-SRPrec-1aAlpha	ChrI-ADH1-SRP-1aAlpha	ChrI-TEF1-SRP-1aAlpha	WT MATa	Bridge
sp|Q06505|IWS1_YEAST	SPN1	Transcription factor SPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPN1 PE=1 SV=1	505	3	C	156.5136381	152.8456318	169.4125435	166.1228686	148.7626914	168.9610099	184.0380681	163.3625937	211.2569228	172.3409778
sp|P53145|LSG1_YEAST	LSG1	Large subunit GTPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSG1 PE=1 SV=1	506	5	C	307.1961444	328.4235716	314.3679524	335.9923166	301.9330139	293.6192329	335.1713452	315.0529125	493.6292176	385.768571
sp|P07256|QCR1_YEAST	COR1	"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COR1 PE=1 SV=1"	507	15	C	1204.918604	1185.997016	1148.938897	1273.768023	1245.084694	1265.817449	1104.904341	1141.414177	1163.690493	1146.765505
sp|P06782|SNF1_YEAST	SNF1	Carbon catabolite-derepressing protein kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF1 PE=1 SV=1	508	6	C	231.135191	247.1019868	270.7698425	263.7660817	254.3272668	260.7340106	248.6501179	255.9118645	255.313472	254.0790234
sp|P11986|INO1_YEAST	INO1	Inositol-3-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INO1 PE=1 SV=3	509	12	C	1688.454681	1691.610576	1759.116282	336.7278413	757.0471316	846.8150682	118.7725525	1191.123459	96.27519938	1001.533066
sp|P09032|EI2BG_YEAST	GCD1	Translation initiation factor eIF-2B subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD1 PE=1 SV=3	511	3	C	191.898158	204.4049226	201.3615395	224.6200738	192.2136803	185.9812955	187.5974548	222.4519838	245.3746987	225.4800464
sp|P35194|UTP20_YEAST	UTP20	U3 small nucleolar RNA-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP20 PE=1 SV=3	512	9	C	573.1320737	618.4317041	618.096581	614.6366854	620.6997085	593.5228631	616.0063672	680.9299565	882.7346135	673.3047189
sp|P54839|HMCS_YEAST	ERG13	Hydroxymethylglutaryl-CoA synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG13 PE=1 SV=1	513	14	C	1678.706419	1929.822054	2102.074603	2027.795848	2027.539657	2059.126069	2131.500221	1866.975328	3089.835933	2100.873799
sp|P05626|ATPF_YEAST	ATP4	"ATP synthase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP4 PE=1 SV=2"	515	5	C	654.4125251	676.2907108	677.816304	646.6113267	614.7866025	585.9966203	569.5614504	604.1255226	686.9351869	661.3243226
sp|P40529|AGE2_YEAST	AGE2	ADP-ribosylation factor GTPase-activating protein effector protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGE2 PE=1 SV=1	516	1	C	47.02550442	64.37012715	46.75748171	71.01284885	59.94799596	58.01961927	68.17456212	60.91639665	75.94789081	59.57194222
sp|P32843|YME2_YEAST	YME2	Mitochondrial escape protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YME2 PE=1 SV=1	517	4	C	270.5281962	260.6690517	263.4391072	269.0227853	264.796003	282.3427403	272.0860027	287.9024994	219.4749643	275.0447169
sp|P0CX32|RS24B_YEAST	RPS24B	40S ribosomal protein S24-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS24B PE=1 SV=1	518	5	C	488.3355635	548.5096052	524.9226844	496.972258	494.9053125	526.2294588	504.9933558	516.1810099	702.274835	522.160775
sp|P12945|NAT1_YEAST	NAT1	N-terminal acetyltransferase A complex subunit NAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAT1 PE=1 SV=2	519	16	C	1113.757314	1141.382866	1136.539196	1187.665653	1113.649668	1114.849812	1198.206375	1168.527348	1541.04315	1227.772553
sp|Q01532|BLH1_YEAST	LAP3	"Cysteine proteinase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAP3 PE=1 SV=3"	520	12	C	1306.82415	1110.49537	1088.571667	1188.056401	1295.68865	1274.61128	1385.601637	1239.560517	762.8651768	1149.154758
sp|P46672|ARC1_YEAST	ARC1	tRNA-aminoacylation cofactor ARC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC1 PE=1 SV=2	521	15	C	2297.826893	2140.085298	2039.305494	2277.311137	2021.903927	2106.997875	2045.729161	2100.444853	1703.233487	2069.30153
sp|P00401|COX1_YEAST	COX1	Cytochrome c oxidase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX1 PE=3 SV=2	522	2	C	214.4751328	180.6484183	199.998473	205.2654287	205.2846536	190.0023624	179.6718611	190.5274229	178.5779381	213.0995451
sp|Q08220|GSHB_YEAST	GSH2	Glutathione synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSH2 PE=1 SV=1	523	6	C	468.8501804	429.6361786	418.6215174	466.4663677	480.2514341	474.307754	468.5047585	401.523374	473.4570509	436.4937358
sp|P40212|RL13B_YEAST	RPL13B	60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13B PE=1 SV=1	524	9	C	928.4812901	984.6091286	960.3953857	973.9945556	899.1978865	978.3446304	962.7515797	959.0270723	1189.855759	957.7395787
sp|P23301|IF5A1_YEAST	HYP2	Eukaryotic translation initiation factor 5A-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HYP2 PE=1 SV=3	525	14	C	1288.709094	1233.651432	1241.791542	1429.193603	1367.110502	1329.629361	1214.938618	1559.370759	1154.777297	1302.910762
sp|P32485|HOG1_YEAST	HOG1	Mitogen-activated protein kinase HOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOG1 PE=1 SV=2	526	5	C	767.8310466	795.6065417	800.8315475	798.2730886	793.4784511	771.5104217	822.792667	817.0075865	770.0106512	775.4101968
sp|P52593|NU188_YEAST	NUP188	Nucleoporin NUP188 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP188 PE=1 SV=1	527	4	C	303.2712156	325.1227104	306.4847849	322.0460772	323.1841269	310.0093282	287.7760214	323.641333	406.5946533	310.9290189
sp|P16649|TUP1_YEAST	TUP1	General transcriptional corepressor TUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUP1 PE=1 SV=2	528	12	C	884.6675873	958.8607949	932.8988732	968.5723589	851.5999804	890.557686	946.3328831	897.0676673	1043.284027	939.7168379
sp|Q05022|RRP5_YEAST	RRP5	rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP5 PE=1 SV=1	529	36	C	3286.857702	3526.881339	3321.518661	3560.640983	3441.696254	3457.973386	3230.153169	3663.731999	4298.621978	3636.926335
sp|P00546|CDK1_YEAST	CDC28	Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1	530	5	C	474.4529243	385.9431997	424.4821026	397.6051587	482.0930927	391.4305272	369.5979596	404.0534081	480.3056675	431.0942141
sp|P38972|PUR4_YEAST	ADE6	Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE6 PE=1 SV=2	531	34	C	4030.833916	4373.045196	4209.313245	4408.10344	4145.51563	4622.775044	4466.180469	3885.656592	3329.925367	4241.739139
sp|P23641|MPCP_YEAST	MIR1	Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1	532	13	C	1411.637463	1463.731964	1395.401722	1421.654474	1332.247386	1342.171383	1321.75929	1432.6408	1324.448752	1412.114786
sp|P00175|CYB2_YEAST	CYB2	"Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYB2 PE=1 SV=1"	533	4	C	314.379778	354.8435922	351.7952345	293.5870145	378.7759485	406.058767	433.5858469	433.4034851	519.0180283	381.2593304
sp|P38885|AIM46_YEAST	AIM46	"Altered inheritance of mitochondria protein 46, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM46 PE=1 SV=1"	534	1	C	65.07828294	57.57982734	64.019487	58.07990978	59.77225919	63.57332536	61.75115853	64.37326893	89.11779091	69.85056475
sp|P27472|GYS2_YEAST	GSY2	Glycogen [starch] synthase isoform 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSY2 PE=1 SV=3	536	5	C	342.0414462	306.4730465	323.2458983	295.8533502	338.8338142	295.0814391	278.9312776	323.6569504	183.7901067	299.6189407
sp|P23337|GYS1_YEAST	GSY1	Glycogen [starch] synthase isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSY1 PE=1 SV=3	536	3	C	164.585199	142.9137565	159.97516	146.5705513	186.9043325	139.9331287	127.4092421	149.3645135	102.4972816	156.2912668
sp|P32771|FADH_YEAST	SFA1	S-(hydroxymethyl)glutathione dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFA1 PE=1 SV=1	537	5	C	545.0949581	491.8707455	474.0488822	490.7317899	524.1405397	507.2887405	472.5691405	452.3547137	634.4375798	525.3957475
sp|P32477|GSH1_YEAST	GSH1	Glutamate--cysteine ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSH1 PE=1 SV=1	538	3	C	237.5501045	256.6874131	233.280512	229.0171328	242.0501964	218.4196181	212.8628487	239.1110448	127.7540726	234.3174375
sp|P36421|SYYC_YEAST	TYS1	"Tyrosine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYS1 PE=1 SV=3"	539	12	C	1599.038051	1504.497802	1620.507839	1640.289215	1699.834205	1664.217139	1596.371246	1463.323169	1821.87969	1643.682687
sp|P33201|MRT4_YEAST	MRT4	Ribosome assembly factor MRT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRT4 PE=1 SV=1	540	7	C	447.3226756	468.6657314	429.0346644	450.9640338	412.4158664	456.2886375	452.4562616	457.210553	613.7902912	473.2844368
sp|P52910|ACS2_YEAST	ACS2	Acetyl-coenzyme A synthetase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS2 PE=1 SV=1	541	25	C	2351.202805	2508.482825	2424.026489	2517.724307	2633.512958	2506.478774	2597.385255	2529.901917	2041.032437	2496.408915
sp|Q05911|PUR8_YEAST	ADE13	Adenylosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE13 PE=1 SV=1	542	21	C	2219.662543	2402.93203	2402.99003	2472.684907	2375.925789	2496.696408	2563.197952	2294.065741	1005.900814	2291.710628
sp|Q01080|RPA49_YEAST	RPA49	DNA-directed RNA polymerase I subunit RPA49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA49 PE=1 SV=2	543	5	C	319.9502134	318.8785476	318.2640006	347.3734133	346.088714	333.0040645	339.1087457	348.6881897	516.3477988	346.9583825
sp|P38264|PHO88_YEAST	PHO88	Inorganic phosphate transport protein PHO88 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO88 PE=1 SV=1	544	7	C	936.4447846	1041.589387	955.67169	1008.822803	946.4292251	1010.780894	1021.8878	1070.646505	1175.878077	1046.663397
sp|Q12160|YP063_YEAST	YPR063C	Uncharacterized protein YPR063C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR063C PE=1 SV=1	545	2	C	175.5389033	166.7975278	158.6150959	176.2248418	150.9356329	171.5528218	160.9548009	180.1886417	170.5374146	171.8138252
sp|P50946|OCA1_YEAST	OCA1	Putative tyrosine-protein phosphatase OCA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OCA1 PE=1 SV=1	546	2	C	200.6805065	214.4973967	200.542899	217.4762893	224.5451287	240.8788987	232.3837989	227.2405478	227.6855471	215.8329641
sp|P32499|NUP2_YEAST	NUP2	Nucleoporin NUP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP2 PE=1 SV=2	547	5	C	271.7704033	320.9501713	356.3968346	321.589822	296.0610732	286.5646031	358.8611928	280.843392	508.1096187	329.1944774
sp|Q12117|MRH1_YEAST	MRH1	Protein MRH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRH1 PE=1 SV=1	548	3	C	353.079821	355.4981081	374.2948375	196.5092361	244.4025011	201.0245135	186.712492	249.0113347	307.2636075	298.4129369
sp|P38079|YRO2_YEAST	YRO2	Protein YRO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRO2 PE=1 SV=1	548	1	C	123.7527933	114.8816874	130.4640713	34.10065269	76.28808473	34.02811144	23.07642975	49.43669745	168.7734222	104.0860926
sp|P38205|NCL1_YEAST	NCL1	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCL1 PE=1 SV=1	549	21	C	1713.14285	1877.703193	1849.316852	1935.441518	1703.999744	1815.905581	1880.653325	1820.098818	2570.013852	1977.751429
sp|P32626|ENOPH_YEAST	UTR4	Enolase-phosphatase E1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTR4 PE=1 SV=2	550	2	C	183.8054294	161.718969	148.6553036	144.5179775	185.6625116	148.1853259	146.1106738	158.3842171	149.8938554	163.6638183
sp|P40531|GVP36_YEAST	GVP36	Protein GVP36 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GVP36 PE=1 SV=1	551	13	C	1318.132134	1291.729621	1211.17759	1229.567581	1183.748349	1255.242197	1268.63222	1251.573974	1099.209672	1182.594816
sp|P06168|ILV5_YEAST	ILV5	"Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1"	552	22	C	3658.483731	3775.365081	3866.935379	3691.955141	3469.286828	3792.375814	3778.156106	3659.106818	2203.938813	3421.457447
sp|Q06168|SFH1_YEAST	SFH1	Chromatin structure-remodeling complex subunit SFH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFH1 PE=1 SV=1	553	1	C	31.55362003	33.02396513	33.21308496	35.88292117	32.69095895	29.22939799	31.00524682	35.62254326	39.82498131	39.59854712
sp|P26783|RS5_YEAST	RPS5	40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS5 PE=1 SV=3	554	11	C	705.9691331	767.6825485	746.6361466	795.2057204	746.2774964	777.5600422	693.6652687	834.0558834	882.7122373	745.940849
sp|P34077|NIC96_YEAST	NIC96	Nucleoporin NIC96 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIC96 PE=1 SV=2	555	6	C	861.9268418	803.1021632	322.2961552	559.057445	721.942904	625.3979275	325.0763229	906.3672844	313.2126998	623.1673862
sp|P39683|NPT1_YEAST	NPT1	Nicotinate phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPT1 PE=1 SV=3	557	14	C	1500.318795	1509.214761	1559.129818	1491.219029	1491.782653	1427.689848	1276.241337	1364.08	1405.01062	1450.873776
sp|P53914|KRE33_YEAST	KRE33	UPF0202 protein KRE33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE33 PE=1 SV=1	558	20	C	1613.510042	1590.776739	1618.246069	1653.861946	1575.897149	1544.820799	1507.992183	1657.388555	2160.297715	1720.508542
sp|P32319|VPS10_YEAST	PEP1	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1	559	5	C	491.3034915	499.3067737	495.0973499	517.3508914	489.8390362	494.4975258	516.3474476	543.0250798	436.8913159	505.3392974
sp|P00128|QCR7_YEAST	QCR7	Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR7 PE=1 SV=2	560	4	C	590.2500218	578.3294724	533.7135621	574.2506287	557.4775984	524.3440366	584.54135	554.3801994	681.9982458	576.7352915
sp|P19262|ODO2_YEAST	KGD2	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KGD2 PE=1 SV=2"	562	6	C	632.7190214	607.5402762	588.7886513	635.0348563	616.7037308	558.402113	580.9702419	632.6454698	656.5445441	642.1543612
sp|Q02753|RL21A_YEAST	RPL21A	60S ribosomal protein L21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL21A PE=1 SV=1	563	6	C	996.2946568	1065.31559	979.716502	981.5957445	882.2103259	1017.40304	947.9123365	970.681327	1218.377987	970.3021183
sp|P38616|YGP1_YEAST	YGP1	Protein YGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGP1 PE=1 SV=2	564	6	C	1239.343895	1045.952827	1113.250976	432.1139127	1003.316775	521.1034994	343.8988753	769.1051276	626.7565677	775.0518088
sp|P41819|DIM1_YEAST	DIM1	Dimethyladenosine transferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIM1 PE=3 SV=1	565	2	C	121.842134	127.6659593	131.7260587	153.0753486	129.4394882	139.0794886	124.0569328	137.2345258	199.8137214	137.9253079
sp|P53254|UTP22_YEAST	UTP22	U3 small nucleolar RNA-associated protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP22 PE=1 SV=1	566	8	C	667.0407022	639.0388555	676.8885781	670.1078957	653.1370106	677.0611718	626.5087068	699.9736887	851.9150931	686.3612271
sp|Q05359|ERP1_YEAST	ERP1	Protein ERP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERP1 PE=1 SV=1	567	4	C	364.7398564	379.4071308	355.8283899	388.3030688	375.7120716	347.3110309	349.8748159	374.730962	414.0451903	392.4793375
sp|P10659|METK1_YEAST	SAM1	S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM1 PE=1 SV=2	568	8	C	1075.67559	1081.850197	1068.205733	1174.908896	1054.753838	1127.381537	1136.747372	1069.904073	474.44608	1017.897552
sp|P19358|METK2_YEAST	SAM2	S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM2 PE=1 SV=3	568	27	C	3577.901812	3557.627427	3457.875342	3612.966675	3476.814204	3626.25066	3450.895703	3464.27257	1007.929592	3145.726294
sp|P32449|AROG_YEAST	ARO4	"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO4 PE=1 SV=2"	569	13	C	1076.545692	1197.047022	1781.613883	1398.876191	1205.575776	1316.799017	2102.958706	1336.797439	1732.009312	1470.632518
sp|Q00764|TPS1_YEAST	TPS1	"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPS1 PE=1 SV=2"	570	14	C	1877.78264	1701.1556	1820.594381	1582.64246	2019.492815	1716.424077	1430.562824	1816.194445	806.4466041	1615.931325
sp|P25293|NAP1_YEAST	NAP1	Nucleosome assembly protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAP1 PE=1 SV=2	571	16	C	2074.976054	1938.761045	1827.739971	1972.125817	1973.054399	1814.206539	1728.67611	1953.147855	1807.335144	1866.70806
sp|P07251|ATPA_YEAST	ATP1	"ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5"	572	16	C	2096.277399	2036.463709	2104.586568	2090.798143	2026.588934	1904.152812	1885.126977	1902.475093	2057.277576	1962.524683
sp|P32419|MDHP_YEAST	MDH3	"Malate dehydrogenase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH3 PE=1 SV=3"	573	8	C	655.1723325	705.6893849	744.3383489	619.2750886	717.1432223	722.7736491	723.8272612	825.0121529	763.6334271	735.7552367
sp|P24000|RL24B_YEAST	RPL24B	60S ribosomal protein L24-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24B PE=1 SV=1	574	6	C	858.4319506	988.2392679	922.4306832	832.6864543	829.7843143	906.0735468	865.3206955	927.1541693	1171.186529	880.4026884
sp|P04449|RL24A_YEAST	RPL24A	60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1	574	2	C	260.9013697	301.7439668	291.3409368	288.1372356	267.359035	287.931045	270.6091112	292.4135526	324.6917032	264.3243671
sp|P38825|TOM71_YEAST	TOM71	Protein TOM71 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM71 PE=1 SV=1	575	3	C	206.4470212	199.9435076	206.7487543	217.2590797	204.8298747	205.2607925	202.956345	201.6050317	250.9023722	209.1800327
sp|P32660|ATC5_YEAST	DNF1	Phospholipid-transporting ATPase DNF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DNF1 PE=1 SV=2	576	2	C	155.1622505	155.6505558	155.8539356	168.4558613	160.7437635	148.5807394	144.4892188	162.2549529	158.0552105	164.697265
sp|Q12675|ATC4_YEAST	DNF2	Phospholipid-transporting ATPase DNF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DNF2 PE=1 SV=1	576	1	C	91.00152967	109.8061588	100.6927791	98.113834	100.6325764	100.6013278	95.64093465	101.9866823	102.7120934	105.3821674
sp|P38694|MSC7_YEAST	MSC7	Putative aldehyde dehydrogenase-like protein YHR039C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC7 PE=1 SV=1	577	5	C	429.6454559	431.0936886	426.7548807	427.4835544	417.9506434	457.137129	449.9176101	474.9568319	438.633678	443.9885944
sp|P48363|PFD3_YEAST	PAC10	Prefoldin subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAC10 PE=1 SV=1	578	3	C	132.0828224	128.8648951	124.9287406	147.6428085	116.9654123	118.8217551	134.5680634	125.8145335	170.8021999	133.3847794
sp|P04264|K2C1_HUMAN_contaminant	KRT1	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	579	7	C	1146.284201	706.0227032	632.2666672	587.3820446	481.2315611	379.1191633	452.3439319	635.6740623	214.1568815	491.7983018
sp|P35908|K22E_HUMAN_contaminant	KRT2	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	579	4	C	722.5512053	188.9480439	234.6806073	227.5334415	224.9969672	239.9068405	255.8528943	232.1997029	112.7978038	219.0793139
sp|Q12451|OSH2_YEAST	OSH2	Oxysterol-binding protein homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OSH2 PE=1 SV=1	580	1	C	58.74246969	58.61250804	61.7460083	62.21539785	59.88575789	45.83861825	64.27701418	59.19414744	55.98546387	58.35171667
sp|P06169|PDC1_YEAST	PDC1	Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7	581	56	C	5838.540478	5855.372281	6149.571247	6304.504682	6034.641757	6736.023335	6189.962911	5378.72508	6875.206981	5800.508539
sp|P16467|PDC5_YEAST	PDC5	Pyruvate decarboxylase isozyme 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC5 PE=1 SV=4	581	5	C	456.1585003	454.7754488	430.4157449	474.8111262	427.4392526	496.6414084	448.5227681	402.4772425	513.5007971	756.2079994
sp|P26263|PDC6_YEAST	PDC6	Pyruvate decarboxylase isozyme 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC6 PE=1 SV=3	581	3	C	226.529555	258.1317924	278.7931197	231.2133639	255.3083739	233.5596301	277.3010316	265.2883678	460.9457577	287.9760738
sp|P32340|NDI1_YEAST	NDI1	"Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1"	582	7	C	654.4258942	683.7954228	655.0134637	684.3012254	685.260672	631.2982382	645.6223397	633.0503233	671.3367205	674.0442495
sp|P32610|VATD_YEAST	VMA8	V-type proton ATPase subunit D OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA8 PE=1 SV=1	583	3	C	88.93812898	89.96907363	98.09284502	99.54672822	95.50621834	86.95801764	102.1204054	111.4173663	106.7368304	89.83429431
sp|P38787|PANE_YEAST	PAN5	2-dehydropantoate 2-reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAN5 PE=1 SV=1	584	7	C	676.3043363	714.3990931	713.7934514	720.7165976	696.4948874	722.8127785	687.9305927	676.3864671	464.3745412	692.2006748
sp|Q12176|MAK21_YEAST	MAK21	Ribosome biogenesis protein MAK21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK21 PE=1 SV=1	585	6	C	321.7940275	373.1781188	324.2446797	391.5485719	353.3788984	383.7446774	381.5508177	364.3981875	434.3158124	381.3029437
sp|Q02647|DYL1_YEAST	DYN2	"Dynein light chain 1, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DYN2 PE=1 SV=1"	586	3	C	639.0503783	617.9973803	598.9646127	602.5418998	668.2652704	610.0499115	667.3996519	700.6920935	590.7927531	652.9590934
sp|P22943|HSP12_YEAST	HSP12	12 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP12 PE=1 SV=1	587	8	C	697.6379899	693.7929517	747.5048263	971.8121157	835.5856859	785.7875261	1247.064916	1135.88198	428.7836638	829.3248244
sp|Q12447|PAA1_YEAST	PAA1	Polyamine N-acetyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAA1 PE=1 SV=1	588	5	C	891.2340166	925.7441067	887.7635606	874.15741	932.0987887	934.7688276	996.530589	920.9948698	1010.510316	919.4726608
sp|P11938|RAP1_YEAST	RAP1	DNA-binding protein RAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAP1 PE=1 SV=2	589	3	C	198.2963601	211.8045888	213.5841021	237.1159502	200.5859249	212.3864732	224.9465953	232.9289197	223.3311337	218.2193725
sp|P0CX23|RL20A_YEAST	RPL20A	60S ribosomal protein L20-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL20A PE=1 SV=1	590	11	C	1133.73958	1237.792659	1231.763696	1210.800206	1098.046046	1205.269758	1197.512861	1247.080941	1550.858854	1313.690843
